"UniqueID","startprice","startprice.predict."
10001,159.99,191.289964866078
10002,0.99,41.7471908587824
10003,199.99,231.421039232257
10004,235,368.674158926794
10005,199.99,130.461557484122
10006,175,179.998209747319
10007,100,147.220059241998
10008,329.99,341.513671734101
10009,0.99,70.9890322757654
10010,150,118.929454543237
10011,199.99,194.429094048524
10012,99.99,115.188281094637
10013,20,23.932498432558
10014,75,121.013543661283
10015,199.99,227.037626209854
10016,344.95,417.003359494661
10017,184.5,192.636295535349
10018,209.98,283.730165473876
10019,375,372.297099821723
10020,95,132.576731598125
10021,125,130.870951246109
10022,187.5,186.909574574163
10023,129.99,177.166486419896
10024,329.99,276.600654689461
10025,149,474.023083093735
10026,238.8,273.26473337909
10027,84.99,100.635021431661
10028,249.99,198.79422883068
10029,309.99,278.749525275428
10030,319.95,325.970544209363
10031,185,232.861336914929
10032,90,106.562041033302
10033,299.98,182.499432538304
10034,49,228.479265930165
10035,444.99,351.138755221635
10036,480,398.357723953382
10037,225,238.425682594765
10038,79,132.381400817202
10039,189.85,205.940023169088
10040,159.99,199.373051594325
10041,199.99,210.981952595429
10042,115,109.392113926685
10043,289.95,225.97943171066
10044,499.95,460.011091280419
10045,199.99,230.994708516364
10046,550,487.309270525832
10047,209.99,234.46542963309
10048,185,232.693445916628
10049,100,81.104247268759
10050,279.99,187.155656730696
10051,614.99,500.897814319341
10052,259,243.786852428039
10053,240,216.581942059735
10054,69.99,120.579475259231
10055,398.99,397.524165707176
10056,175,93.9311100966673
10057,84.99,202.628016511752
10058,269.99,188.685065394081
10059,295,203.764483851424
10060,210,170.276414268292
10061,160,194.537353415642
10062,0.99,57.9776888493451
10063,304.89,156.517320272016
10064,0.99,41.1348825120401
10065,195,192.684974134583
10066,319,265.080589206003
10067,389.99,429.96723680917
10068,79.99,102.465121550888
10069,254.99,219.922850769545
10070,115,85.3298276868612
10071,159.95,213.742961878075
10072,279.99,210.435373246045
10073,99.99,65.260314351644
10074,75,42.1996021902284
10075,135,68.5354634251836
10076,130,171.282640754327
10077,119.95,197.309607065898
10078,50,30.527897152873
10079,269.94,230.354109605742
10080,380,416.306435887516
10081,0.99,73.5281256298137
10082,169.95,188.424624352849
10083,319.85,213.367419431249
10084,329.99,358.070677483552
10085,249.95,218.853105665928
10086,130,171.183881343562
10087,550,489.795678362751
10088,169.98,210.364734388551
10089,149.99,171.979722180131
10090,305,194.125397782513
10091,0.01,37.5793055675403
10092,450,294.0612466957
10093,194.29,208.071505308928
10094,193.15,196.655065880806
10095,62,51.100909582091
10096,489.99,449.569162748539
10097,99,106.441949472433
10098,45,54.3009057507491
10099,134.95,160.908669194208
10100,199.99,210.399272071917
10101,264.99,316.977471021188
10102,349,224.202793422962
10103,160,72.9644683848265
10104,295,285.564026809482
10105,199,208.158013060713
10106,279.95,199.792481508768
10107,149.95,156.528374779925
10108,290,196.035456605572
10109,339.99,415.682260395317
10110,99,119.543729686483
10111,320,282.580305462788
