"UniqueID","startprice","startprice.log","startprice.predict.All.Interact.X.glmnet","startprice.predict.All.Interact.X.glmnet.err","startprice.predict.All.Interact.X.glmnet.accurate"
10001,159.99,5.07511131328062,198.40477589938,38.4147758993799,FALSE
10004,235,5.45958551414416,333.837689038352,98.8376890383518,FALSE
10005,199.99,5.298267365298,201.567067329376,1.57706732937623,FALSE
10008,329.99,5.79906235097108,334.278686754322,4.28868675432165,FALSE
10012,99.99,4.60507018098776,150.896387276464,50.9063872764643,FALSE
10016,344.95,5.84339947899212,398.114638046564,53.1646380465637,FALSE
10018,209.98,5.34701228808679,271.335775396605,61.3557753966049,FALSE
10020,95,4.55387689160054,163.909689146353,68.9096891463534,FALSE
10022,187.5,5.23377884541047,182.154792062778,5.3452079372224,FALSE
10023,129.99,4.86745752441993,156.48696850338,26.4969685033797,FALSE
10024,329.99,5.79906235097108,264.244497639642,65.7455023603585,FALSE
10025,149,5.00394630594546,417.990866602785,268.990866602785,FALSE
10026,238.8,5.47562638151845,220.293043045196,18.5069569548041,FALSE
10028,249.99,5.52142091706223,184.366735203844,65.6232647961562,FALSE
10029,309.99,5.73654003889437,190.427317260284,119.562682739716,FALSE
10033,299.98,5.70371580576721,121.618026882773,178.361973117227,FALSE
10035,444.99,6.09805181000363,329.759336780355,115.230663219645,FALSE
10036,480,6.17378610390194,372.000424887917,107.999575112083,FALSE
10038,79,4.36944785246702,163.555250030418,84.5552500304176,FALSE
10039,189.85,5.24623428667781,191.519842165037,1.66984216503695,FALSE
10040,159.99,5.07511131328062,184.983012577456,24.9930125774555,FALSE
10042,115,4.74493212836325,140.842041757838,25.8420417578377,FALSE
10043,289.95,5.66970849432245,230.49444286481,59.45555713519,FALSE
10044,499.95,6.21450809342186,471.597586017258,28.3524139827423,FALSE
10046,550,6.30991827822652,416.405134556295,133.594865443705,FALSE
10047,209.99,5.34705991053603,213.020360418262,3.03036041826235,FALSE
10052,259,5.55682806169954,156.272287395046,102.727712604954,FALSE
10053,240,5.48063892334199,203.847566866082,36.1524331339185,FALSE
10054,69.99,4.24835237470145,149.575187047441,79.585187047441,FALSE
10055,398.99,5.98893635391915,191.388605717594,207.601394282406,FALSE
10057,84.99,4.44253360251053,193.434600562341,108.444600562341,FALSE
10058,269.99,5.59838492127545,202.421857377714,67.5681426222859,FALSE
10059,295,5.68697535633982,142.458586482274,152.541413517726,FALSE
10060,210,5.34710753071747,170.926701549163,39.0732984508373,FALSE
10063,304.89,5.71995105581779,131.476623696646,173.413376303354,FALSE
10065,195,5.27299955856375,180.105287825693,14.8947121743074,FALSE
10066,319,5.76519110278484,257.111400415466,61.8885995845339,FALSE
10067,389.99,5.96612109776931,395.951557728281,5.96155772828098,FALSE
