"UniqueID","sold.fctr","sold.fctr.predict.All.Interact.X.gbm.prob","sold.fctr.predict.All.Interact.X.gbm","sold.fctr.predict.All.X.gbm.prob","sold.fctr.predict.All.X.gbm","sold.fctr.predict.All.Interact.X.no.rnorm.rf.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rf","sold.fctr.predict.All.X.no.rnorm.rf.prob","sold.fctr.predict.All.X.no.rnorm.rf","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart.prob","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart","sold.fctr.predict.All.Interact.X.glmnet.prob","sold.fctr.predict.All.Interact.X.glmnet","sold.fctr.predict.Max.cor.Y.glm.prob","sold.fctr.predict.Max.cor.Y.glm","sold.fctr.predict.Interact.High.cor.Y.glm.prob","sold.fctr.predict.Interact.High.cor.Y.glm","sold.fctr.predict.All.X.glmnet.prob","sold.fctr.predict.All.X.glmnet","sold.fctr.predict.All.Interact.X.bayesglm.prob","sold.fctr.predict.All.Interact.X.bayesglm","sold.fctr.predict.Max.cor.Y.rpart.prob","sold.fctr.predict.Max.cor.Y.rpart","sold.fctr.predict.All.X.no.rnorm.rpart.prob","sold.fctr.predict.All.X.no.rnorm.rpart","sold.fctr.predict.All.Interact.X.no.rnorm.rpart.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rpart","sold.fctr.predict.All.X.bayesglm.prob","sold.fctr.predict.All.X.bayesglm","sold.fctr.predict.Low.cor.X.glm.prob","sold.fctr.predict.Low.cor.X.glm","sold.fctr.predict.All.X.glm.prob","sold.fctr.predict.All.X.glm","sold.fctr.predict.All.Interact.X.glm.prob","sold.fctr.predict.All.Interact.X.glm","sold.fctr.predict.All.Interact.X.gbm.accurate"
10094,"N",0.660123220256066,"Y",0.521476840757291,"Y",0.544,"Y",0.558,"Y",0.583333333333333,"Y",0.281149960805372,"N",0.198376760635528,"N",0.198248663117788,"N",0.281991333036844,"N",0.112264402429571,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.158380784175776,"N",0.137455086225248,"N",0.128756678885428,"N",0.0422628621486848,"N",FALSE
10260,"N",0.0106388132983792,"N",0.0762968091799787,"N",0.08,"N",0.122,"N",0.0234741784037559,"N",0.143547356808758,"N",0.0451998345683453,"N",0.0447738051798026,"N",0.138797423752278,"N",0.0415637471686647,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0370358478900538,"N",0.0330916042025677,"N",0.0282476140199369,"N",0.0165130845919044,"N",TRUE
10390,"N",0.0570004833044013,"N",0.0443375622281202,"N",0,"N",0.006,"N",0.0238095238095238,"N",0.612793895172461,"N",0.938887277399701,"Y",0.940133833980451,"Y",0.703379593764109,"Y",0.7865699072967,"Y",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.960470412991288,"Y",0.945689524853762,"Y",0.959430986783309,"Y",0.690734045531901,"N",TRUE
10806,"N",0.0192777867589102,"N",0.0514396304433853,"N",0.062,"N",0.188,"N",0.0234741784037559,"N",0.180285486214021,"N",0.0639473604129234,"N",0.0634763570162211,"N",0.159016472231726,"N",0.0446106268767694,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0389164526054071,"N",0.0341256979419246,"N",0.0323824979149576,"N",0.028149792120748,"N",TRUE
11000,"N",0.104380404473418,"N",0.100476887673147,"N",0.09,"N",0.11,"N",0.05,"N",0.149616310963833,"N",0.334691169745661,"N",0.346803005552757,"N",0.479155786417643,"N",0.00338170574848943,"N",0.05,"N",0.05,"N",0.05,"N",0.329228420911968,"N",0.26637092047543,"N",0.263867243828815,"N",0.00135067660579253,"N",TRUE
11204,"N",0.0402942544515859,"N",0.02835452923705,"N",0,"N",0.01,"N",0.0238095238095238,"N",0.625945588996562,"N",0.945089811814359,"Y",0.946248936057235,"Y",0.713597681912728,"Y",0.813328514602413,"Y",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.96169515559117,"Y",0.946419504180585,"Y",0.961837245268405,"Y",0.825143771064956,"Y",TRUE
11266,"N",0.0303262897327653,"N",0.0388960155380657,"N",0.002,"N",0.006,"N",0.0234741784037559,"N",0.193291318505147,"N",0.0986024460292336,"N",0.0981321475440101,"N",0.215825644991023,"N",0.0622753868827671,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0702665268319114,"N",0.0579479637326265,"N",0.0622597945564318,"N",0.0676070130661991,"N",TRUE
11307,"N",0.395620806104048,"N",0.791851508393341,"Y",0.706,"Y",0.836,"Y",0.950437317784257,"Y",0.841044324566306,"Y",0.924595814372051,"Y",0.866315696097839,"Y",0.798872397211281,"Y",0.88514681553721,"Y",0.94,"Y",0.94,"Y",0.94,"Y",0.806867162109883,"Y",0.7574261866629,"Y",0.796118824947808,"Y",0.912657276433957,"Y",TRUE
11315,"N",0.028148956051118,"N",0.0340551986714421,"N",0,"N",0.006,"N",0.0234741784037559,"N",0.183726376729812,"N",0.104473896028543,"N",0.104011865861694,"N",0.20412954204705,"N",0.0640667935675885,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.050687564592318,"N",0.041101341474665,"N",0.0348099195139388,"N",0.0733757426826219,"N",TRUE
11393,"N",0.602129903996502,"Y",0.519837843295566,"Y",0.486,"Y",0.46,"N",0.25,"N",0.292923519996624,"N",0.215667477415722,"N",0.215629373799447,"N",0.257484121015637,"N",0.300112509757816,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.254323644695268,"N",0.142384065781806,"N",0.235033475339286,"N",0.352500217650139,"N",FALSE
