"UniqueID","sold.fctr","sold.fctr.predict.All.Interact.X.gbm.prob","sold.fctr.predict.All.Interact.X.gbm","sold.fctr.predict.All.X.gbm.prob","sold.fctr.predict.All.X.gbm","sold.fctr.predict.All.X.no.rnorm.rf.prob","sold.fctr.predict.All.X.no.rnorm.rf","sold.fctr.predict.All.Interact.X.no.rnorm.rf.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rf","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart.prob","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart","sold.fctr.predict.All.Interact.X.glmnet.prob","sold.fctr.predict.All.Interact.X.glmnet","sold.fctr.predict.All.Interact.X.bayesglm.prob","sold.fctr.predict.All.Interact.X.bayesglm","sold.fctr.predict.Max.cor.Y.glm.prob","sold.fctr.predict.Max.cor.Y.glm","sold.fctr.predict.Interact.High.cor.Y.glm.prob","sold.fctr.predict.Interact.High.cor.Y.glm","sold.fctr.predict.Max.cor.Y.rpart.prob","sold.fctr.predict.Max.cor.Y.rpart","sold.fctr.predict.All.X.no.rnorm.rpart.prob","sold.fctr.predict.All.X.no.rnorm.rpart","sold.fctr.predict.All.Interact.X.no.rnorm.rpart.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rpart","sold.fctr.predict.All.X.bayesglm.prob","sold.fctr.predict.All.X.bayesglm","sold.fctr.predict.All.X.glmnet.prob","sold.fctr.predict.All.X.glmnet","sold.fctr.predict.Low.cor.X.glm.prob","sold.fctr.predict.Low.cor.X.glm","sold.fctr.predict.All.X.glm.prob","sold.fctr.predict.All.X.glm","sold.fctr.predict.All.Interact.X.glm.prob","sold.fctr.predict.All.Interact.X.glm","sold.fctr.predict.All.Interact.X.gbm.accurate"
10094,"N",0.399411130549435,"N",0.435255405022041,"Y",0.34,"N",0.278,"N",0.25,"N",0.303837570519924,"N",0.223577922191371,"N",0.288065265601705,"N",0.28735688287721,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.224491991837424,"N",0.344303515635217,"N",0.2095387875644,"N",0.196312106251794,"N",0.220437442240414,"N",TRUE
10260,"N",0.514811047285856,"Y",0.583158032407814,"Y",0.194,"N",0.184,"N",0.3,"N",0.273478214475492,"N",0.19941217249488,"N",0.228754370876767,"N",0.228942003721814,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.206686959807601,"N",0.257673930384318,"N",0.201700169882732,"N",0.182338531984968,"N",0.186600121191613,"N",FALSE
10390,"N",0.105150107378377,"N",0.102077495242278,"N",0.002,"N",0.002,"N",0.0520833333333333,"N",0.368241044995049,"N",0.408480367384977,"N",0.563651558133809,"N",0.558639986881827,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.662272722580608,"Y",0.572687745122217,"Y",0.606668761281146,"Y",0.641235271120125,"Y",0.423796427843026,"N",TRUE
10806,"N",0.118918919063192,"N",0.144123756213944,"N",0.386,"N",0.408,"N",0.0520833333333333,"N",0.313856036839156,"N",0.195234475169483,"N",0.39331095517762,"N",0.39085183206554,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.325286114948723,"N",0.316413424584557,"N",0.312926200759207,"N",0.320201510693999,"N",0.182473343772095,"N",TRUE
11000,"N",0.0692236319594989,"N",0.0649528440639805,"N",0.068,"N",0.042,"N",0.0175438596491228,"N",0.0475522361919591,"N",2.29423429603735e-06,"N",0.074215737191677,"N",0.0917233828148718,"N",0.13953488372093,"N",0.13953488372093,"N",0.13953488372093,"N",0.0546677451330093,"N",0.227225894927369,"N",0.0446943126772489,"N",0.0399455223193048,"N",6.15710079597965e-07,"N",TRUE
11204,"N",0.089541542262347,"N",0.0802051235916685,"N",0.002,"N",0.006,"N",0.0520833333333333,"N",0.363769706145831,"N",0.335740031831696,"N",0.544552349982521,"N",0.539780164985243,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.612712594911325,"Y",0.512119560087022,"Y",0.547685435901919,"Y",0.593837177257983,"N",0.319060003126143,"N",TRUE
11266,"N",0.0409854477284234,"N",0.0391580118720602,"N",0.006,"N",0.004,"N",0.0473372781065089,"N",0.201708399346394,"N",0.0509782776439924,"N",0.0432028147014877,"N",0.044394599653289,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0211346674320438,"N",0.134311084935741,"N",0.0206703746970103,"N",0.0181825975510246,"N",0.0526074975446267,"N",TRUE
11307,"N",0.929734647403002,"Y",0.921086463042431,"Y",0.814,"Y",0.844,"Y",0.933139534883721,"Y",0.788527636570513,"Y",0.856739665015804,"Y",0.849748945116052,"Y",0.724326088934161,"Y",0.933139534883721,"Y",0.933139534883721,"Y",0.933139534883721,"Y",0.622151612635224,"Y",0.642860494762841,"Y",0.569864160956316,"Y",0.615634631380329,"Y",0.896972610846834,"Y",FALSE
11315,"N",0.037734543448133,"N",0.0389581666631602,"N",0.002,"N",0.002,"N",0.0473372781065089,"N",0.21140438767217,"N",0.0839600819169298,"N",0.0541520191807818,"N",0.0554470550057432,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0191304622781846,"N",0.134698861055421,"N",0.0164471565603903,"N",0.0137244577471559,"N",0.0896107345850406,"N",TRUE
11393,"N",0.108002126746876,"N",0.0873938370777816,"N",0.106,"N",0.104,"N",0.0520833333333333,"N",0.319117606975957,"N",0.328067721160817,"N",0.416823374581892,"N",0.413973032203304,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.388882804586194,"N",0.35420170613562,"N",0.303906062931254,"N",0.380884911695965,"N",0.350320368737832,"N",TRUE
