"UniqueID","sold.fctr","sold.fctr.predict.All.X.bayesglm.prob","sold.fctr.predict.All.X.bayesglm","sold.fctr.predict.All.X.bayesglm.accurate"
10066,"N",0.0350012761368741,"N",TRUE
10094,"N",0.103357524273774,"N",TRUE
10199,"N",0.769898319760624,"Y",FALSE
10244,"N",0.0868057851624436,"N",TRUE
10451,"N",0.0925136642637989,"N",TRUE
10537,"N",0.684031968684118,"Y",FALSE
10602,"N",0.308018125393604,"N",TRUE
10632,"N",0.122412572358561,"N",TRUE
10651,"N",0.014987212613853,"N",TRUE
10676,"N",0.254371412297537,"N",TRUE
10806,"N",0.0436125272556297,"N",TRUE
10807,"N",0.0872592727425195,"N",TRUE
10829,"N",0.0120934659382726,"N",TRUE
10921,"N",0.0218134394238615,"N",TRUE
11001,"N",0.0354557278251459,"N",TRUE
11029,"N",0.165775832347232,"N",TRUE
11031,"N",0.227767613348278,"N",TRUE
11187,"N",0.0302036350342858,"N",TRUE
11266,"N",0.0379676340236807,"N",TRUE
11282,"N",0.0171222910652735,"N",TRUE
11294,"N",0.0523161258891959,"N",TRUE
11307,"N",0.343731370917596,"N",TRUE
11357,"N",0.713353573370777,"Y",FALSE
11386,"N",0.316275452190651,"N",TRUE
11389,"N",0.0181532449736382,"N",TRUE
11393,"N",0.0744929722115215,"N",TRUE
11403,"N",0.0238528084990965,"N",TRUE
11417,"N",0.629378955813325,"Y",FALSE
11419,"N",0.0971898683904393,"N",TRUE
11434,"N",0.0365148700131606,"N",TRUE
11445,"N",0.455983297019062,"N",TRUE
11446,"N",0.0647863916757074,"N",TRUE
11449,"N",0.49872131501644,"N",TRUE
11458,"N",0.019391412551826,"N",TRUE
11459,"N",0.219655071147042,"N",TRUE
11465,"N",0.102574889317268,"N",TRUE
11466,"N",0.26934090493969,"N",TRUE
11526,"N",0.0344105412474866,"N",TRUE
11574,"N",0.0802104249385857,"N",TRUE
11585,"N",0.0465916652519904,"N",TRUE
11587,"N",0.218102168890067,"N",TRUE
11594,"N",0.169427000014172,"N",TRUE
11597,"N",0.0581573588117222,"N",TRUE
11606,"N",0.0506749703696697,"N",TRUE
11700,"N",0.652334890293311,"Y",FALSE
11763,"N",0.0663900490935632,"N",TRUE
11769,"N",0.703690927897089,"Y",FALSE
11819,"N",0.0830659309284542,"N",TRUE
11827,"N",0.071924139380713,"N",TRUE
11836,"N",0.50489005493127,"N",TRUE
11853,"N",0.0266660341771791,"N",TRUE
11854,"N",0.0294812543533299,"N",TRUE
10012,"N",0.216269738648495,"N",TRUE
10054,"N",0.521240389420706,"N",TRUE
10058,"N",0.191229047467781,"N",TRUE
10106,"N",0.141275653087725,"N",TRUE
10110,"N",0.450682082382077,"N",TRUE
10127,"N",0.783496815110073,"Y",FALSE
10168,"N",0.136777646349345,"N",TRUE
10254,"N",0.784600136547138,"Y",FALSE
10283,"N",0.987604549931509,"Y",FALSE
10317,"N",0.231766102971429,"N",TRUE
10382,"N",0.338122033446672,"N",TRUE
10494,"N",0.293916894348482,"N",TRUE
10512,"N",0.473440555755069,"N",TRUE
10526,"N",0.90380492721708,"Y",FALSE
10564,"N",0.848490561147167,"Y",FALSE
10568,"N",0.379900108843458,"N",TRUE
10581,"N",0.699560749249312,"Y",FALSE
10586,"N",0.371981455378841,"N",TRUE
10638,"N",0.233882408189569,"N",TRUE
10658,"N",0.847728058616415,"Y",FALSE
10706,"N",0.583655562965333,"N",TRUE
10735,"N",0.381459383538782,"N",TRUE
10743,"N",0.752901135784668,"Y",FALSE
10772,"N",0.440578207983125,"N",TRUE
10857,"N",0.294119393686109,"N",TRUE
10948,"N",0.0219761117016373,"N",TRUE
10955,"N",0.81798027592615,"Y",FALSE
10959,"N",0.400412409347248,"N",TRUE
11007,"N",0.527063086961032,"N",TRUE
11038,"N",0.321579763826691,"N",TRUE
11050,"N",0.32499993444683,"N",TRUE
11076,"N",0.457511130256765,"N",TRUE
11109,"N",0.480544916122577,"N",TRUE
11152,"N",0.0283337194071007,"N",TRUE
11155,"N",0.20601954812409,"N",TRUE
11202,"N",0.00518393566734408,"N",TRUE
11240,"N",0.0257886850099346,"N",TRUE
11280,"N",0.420154879574517,"N",TRUE
11345,"N",0.28047770452647,"N",TRUE
11447,"N",0.0914023504000678,"N",TRUE
11545,"N",0.281610746998698,"N",TRUE
11560,"N",0.223760248772484,"N",TRUE
11575,"N",0.199171564284964,"N",TRUE
11622,"N",0.782217859626612,"Y",FALSE
11718,"N",0.485763943187198,"N",TRUE
11724,"N",0.132669486488386,"N",TRUE
11733,"N",0.108539110686219,"N",TRUE
11775,"N",0.289634124448284,"N",TRUE
11803,"N",0.211515627787608,"N",TRUE
11837,"N",0.236664397667075,"N",TRUE
11848,"N",0.0446551993142916,"N",TRUE
11856,"N",0.0286624242704806,"N",TRUE
11861,"N",0.286465646474813,"N",TRUE
10023,"N",0.382360268736191,"N",TRUE
10088,"N",0.313313620666378,"N",TRUE
10129,"N",0.341740283118049,"N",TRUE
10149,"N",0.28882717903113,"N",TRUE
10191,"N",0.468167550217947,"N",TRUE
10216,"N",0.332379946831048,"N",TRUE
10235,"N",0.334762136544278,"N",TRUE
10252,"N",0.423332575823205,"N",TRUE
10274,"N",0.319291925446115,"N",TRUE
10282,"N",0.783108671773091,"Y",FALSE
10325,"N",0.345374169187872,"N",TRUE
10409,"N",0.704604211919793,"Y",FALSE
10432,"N",0.0215061372679153,"N",TRUE
10440,"N",0.205177470827801,"N",TRUE
10503,"N",0.317050574072684,"N",TRUE
10504,"N",0.706639503163854,"Y",FALSE
10522,"N",0.0107539126619197,"N",TRUE
10539,"N",0.452591152676836,"N",TRUE
10560,"N",0.130786943597322,"N",TRUE
10567,"N",0.702883767965757,"Y",FALSE
10569,"N",0.61762198594583,"Y",FALSE
10596,"N",0.0728677696721789,"N",TRUE
10628,"N",0.834259074516508,"Y",FALSE
