"UniqueID","sold.fctr","sold.fctr.predict.All.Interact.X.no.rnorm.rf.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rf","sold.fctr.predict.All.X.no.rnorm.rf.prob","sold.fctr.predict.All.X.no.rnorm.rf","sold.fctr.predict.Max.cor.Y.rpart.prob","sold.fctr.predict.Max.cor.Y.rpart","sold.fctr.predict.All.X.no.rnorm.rpart.prob","sold.fctr.predict.All.X.no.rnorm.rpart","sold.fctr.predict.All.Interact.X.no.rnorm.rpart.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rpart","sold.fctr.predict.All.Interact.X.glmnet.prob","sold.fctr.predict.All.Interact.X.glmnet","sold.fctr.predict.Max.cor.Y.glm.prob","sold.fctr.predict.Max.cor.Y.glm","sold.fctr.predict.All.X.glmnet.prob","sold.fctr.predict.All.X.glmnet","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart.prob","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart","sold.fctr.predict.All.Interact.X.bayesglm.prob","sold.fctr.predict.All.Interact.X.bayesglm","sold.fctr.predict.Interact.High.cor.Y.glm.prob","sold.fctr.predict.Interact.High.cor.Y.glm","sold.fctr.predict.All.X.bayesglm.prob","sold.fctr.predict.All.X.bayesglm","sold.fctr.predict.Low.cor.X.glm.prob","sold.fctr.predict.Low.cor.X.glm","sold.fctr.predict.All.X.glm.prob","sold.fctr.predict.All.X.glm","sold.fctr.predict.All.Interact.X.glm.prob","sold.fctr.predict.All.Interact.X.glm","sold.fctr.predict.Ensemble.glmnet.prob","sold.fctr.predict.Ensemble.glmnet","sold.fctr.predict.Ensemble.glmnet.accurate"
10094,"N",0.466,"N",0.506,"Y",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.29643654721203,"N",0.254488894489386,"N",0.309373713476906,"N",0.466666666666667,"Y",0.193520386004119,"N",0.25427330136953,"N",0.173923564046885,"N",0.160167388558944,"N",0.149209636048188,"N",1,"Y",0.464887124513964,"N",TRUE
10260,"N",0.156,"N",0.17,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.268628756697785,"N",0.23301074032127,"N",0.269842396035476,"N",0.259259259259259,"N",0.161790915879613,"N",0.233162663889048,"N",0.151191300644606,"N",0.144659019382667,"N",0.127921837562511,"N",2.22044604925031e-16,"N",0.147306588013296,"N",TRUE
10390,"N",0,"N",0.004,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.36942827013192,"N",0.569000087084945,"N",0.469177355516963,"N",0.1015625,"N",0.392664405607606,"N",0.563059114485015,"N",0.660009057091036,"Y",0.608083813677806,"Y",0.638449316630689,"Y",1,"Y",0.0729345674661009,"N",TRUE
10806,"N",0.5,"N",0.284,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.310908652329612,"N",0.414030805164003,"N",0.357762076690122,"N",0.1015625,"N",0.162232401994995,"N",0.410751267307489,"N",0.282988741831046,"N",0.267244107883195,"N",0.27412288404381,"N",2.22044604925031e-16,"N",0.33812401809022,"N",TRUE
11000,"N",0.014,"N",0.036,"N",0.125,"N",0.125,"N",0.125,"N",0.0512771126673771,"N",0.0738471720495133,"N",0.253011709967927,"N",0.125,"N",7.835586000882e-06,"N",0.0915369612965761,"N",0.0430911367943381,"N",0.0342062003840261,"N",0.030472794950062,"N",2.22044604925031e-16,"N",0.0779760905996156,"N",TRUE
11204,"N",0,"N",0.024,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.363865216149398,"N",0.544749368289871,"N",0.457296240981262,"N",0.1015625,"N",0.327247386094581,"N",0.539161315621304,"N",0.615153999932749,"Y",0.554705731369257,"Y",0.596526055625751,"Y",1,"Y",0.0758144300678514,"N",TRUE
11266,"N",0,"N",0,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.190497427125526,"N",0.0303348339826612,"N",0.125341774600256,"N",0.0419161676646706,"N",0.0417928467989157,"N",0.0315212179930033,"N",0.0135385572376978,"N",0.0132184574628348,"N",0.0113448503195363,"N",2.22044604925031e-16,"N",0.0689938944198323,"N",TRUE
11307,"N",0.682,"Y",0.68,"Y",0.922857142857143,"Y",0.922857142857143,"Y",0.922857142857143,"Y",0.662549472425582,"Y",0.747634481988463,"Y",0.687501350982178,"N",0.823529411764706,"Y",0.444366230027458,"N",0.579970369255726,"N",0.502989473225457,"Y",0.455091035687448,"N",0.489743511505464,"N",2.22044604925031e-16,"N",0.710819708631009,"Y",FALSE
11315,"N",0,"N",0.002,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.211356946584924,"N",0.0506328969647926,"N",0.156638784568212,"N",0.0419161676646706,"N",0.0969403377138621,"N",0.0521191558721837,"N",0.023373123791466,"N",0.0203738292078008,"N",0.0176168008348495,"N",2.22044604925031e-16,"N",0.069713510696091,"N",TRUE
11393,"N",0.384,"N",0.226,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.322176612341726,"N",0.466647473087735,"N",0.387190489923331,"N",0.1015625,"N",0.260161556876814,"N",0.462375214251968,"N",0.351111682253548,"N",0.3025251208023,"N",0.335029509911682,"N",1,"Y",0.252836872724977,"N",TRUE
11403,"N",0.082,"N",0.104,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.185514670458483,"N",0.0410145119336664,"N",0.124713839574353,"N",0.0419161676646706,"N",0.0575374796777088,"N",0.0423834169766388,"N",0.0153216691392239,"N",0.0133910558095873,"N",0.0127018608075771,"N",2.22044604925031e-16,"N",0.104663756687952,"N",TRUE
