"UniqueID","startprice","startprice.log","startprice.predict.All.X.glmnet","startprice.predict.All.X.glmnet.err","startprice.predict.All.X.glmnet.accurate"
10001,159.99,5.07511131328062,190.706738630527,30.716738630527,FALSE
10004,235,5.45958551414416,304.348846793782,69.3488467937821,FALSE
10005,199.99,5.298267365298,215.922021581536,15.9320215815358,FALSE
10008,329.99,5.79906235097108,340.578749298646,10.5887492986461,FALSE
10012,99.99,4.60507018098776,151.155086605026,51.165086605026,FALSE
10016,344.95,5.84339947899212,405.271205709571,60.3212057095709,FALSE
10018,209.98,5.34701228808679,258.114668040524,48.1346680405238,FALSE
10020,95,4.55387689160054,162.869082493485,67.8690824934849,FALSE
10022,187.5,5.23377884541047,182.565118235449,4.93488176455131,FALSE
10023,129.99,4.86745752441993,143.302076126692,13.3120761266917,FALSE
10024,329.99,5.79906235097108,301.624222366208,28.3657776337923,FALSE
10025,149,5.00394630594546,396.132425295008,247.132425295008,FALSE
10026,238.8,5.47562638151845,290.659660642196,51.8596606421963,FALSE
10028,249.99,5.52142091706223,203.262698780449,46.727301219551,FALSE
10029,309.99,5.73654003889437,236.177223505707,73.8127764942926,FALSE
10033,299.98,5.70371580576721,255.032113945265,44.947886054735,FALSE
10035,444.99,6.09805181000363,319.739077792222,125.250922207778,FALSE
10036,480,6.17378610390194,286.695599219114,193.304400780886,FALSE
10038,79,4.36944785246702,162.683449003865,83.6834490038649,FALSE
10039,189.85,5.24623428667781,193.806230761022,3.95623076102157,FALSE
10040,159.99,5.07511131328062,196.421666096816,36.4316660968162,FALSE
10042,115,4.74493212836325,143.429369895592,28.4293698955924,FALSE
10043,289.95,5.66970849432245,271.798014353743,18.1519856462567,FALSE
10044,499.95,6.21450809342186,384.16755524788,115.78244475212,FALSE
10046,550,6.30991827822652,443.168792356919,106.831207643081,FALSE
10047,209.99,5.34705991053603,232.429801565401,22.4398015654014,FALSE
10052,259,5.55682806169954,198.516773824066,60.4832261759336,FALSE
10053,240,5.48063892334199,236.257717345923,3.74228265407717,FALSE
10054,69.99,4.24835237470145,149.635482888765,79.6454828887648,FALSE
10055,398.99,5.98893635391915,264.737078765744,134.252921234256,FALSE
