"UniqueID","sold.fctr","sold.fctr.predict.All.Interact.X.gbm.prob","sold.fctr.predict.All.Interact.X.gbm","sold.fctr.predict.All.X.gbm.prob","sold.fctr.predict.All.X.gbm","sold.fctr.predict.All.Interact.X.no.rnorm.rf.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rf","sold.fctr.predict.All.X.no.rnorm.rf.prob","sold.fctr.predict.All.X.no.rnorm.rf","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart.prob","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart","sold.fctr.predict.All.Interact.X.glmnet.prob","sold.fctr.predict.All.Interact.X.glmnet","sold.fctr.predict.Max.cor.Y.glm.prob","sold.fctr.predict.Max.cor.Y.glm","sold.fctr.predict.Interact.High.cor.Y.glm.prob","sold.fctr.predict.Interact.High.cor.Y.glm","sold.fctr.predict.All.X.glmnet.prob","sold.fctr.predict.All.X.glmnet","sold.fctr.predict.All.Interact.X.bayesglm.prob","sold.fctr.predict.All.Interact.X.bayesglm","sold.fctr.predict.All.X.bayesglm.prob","sold.fctr.predict.All.X.bayesglm","sold.fctr.predict.Low.cor.X.glm.prob","sold.fctr.predict.Low.cor.X.glm","sold.fctr.predict.Max.cor.Y.rpart.prob","sold.fctr.predict.Max.cor.Y.rpart","sold.fctr.predict.All.X.no.rnorm.rpart.prob","sold.fctr.predict.All.X.no.rnorm.rpart","sold.fctr.predict.All.Interact.X.no.rnorm.rpart.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rpart","sold.fctr.predict.All.X.glm.prob","sold.fctr.predict.All.X.glm","sold.fctr.predict.All.Interact.X.glm.prob","sold.fctr.predict.All.Interact.X.glm","sold.fctr.predict.All.Interact.X.gbm.accurate"
10094,"N",0.763094887245609,"Y",0.617302048794473,"Y",0.498,"N",0.428,"N",0.275,"N",0.284008920152504,"N",0.209488740121,"N",0.209752199991059,"N",0.285916488721131,"N",0.148630209798664,"N",0.146626668453062,"N",0.131661072688123,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.117314777179206,"N",2.22044604925031e-16,"N",FALSE
10260,"N",0.0670608204056824,"N",0.0401803078774031,"N",0.116,"N",0.158,"N",0.0328638497652582,"N",0.159740558513117,"N",0.0233813808411537,"N",0.0238107188189357,"N",0.110136719465786,"N",0.0719577841793545,"N",0.0290853839729286,"N",0.0274305024500236,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0215844107808293,"N",2.22044604925031e-16,"N",TRUE
10390,"N",0.0425721347711349,"N",0.0447865628956574,"N",0,"N",0,"N",0.024,"N",0.42613856711425,"N",0.67309557431298,"N",0.670240621163944,"N",0.521197706536393,"N",0.4457204677525,"N",0.731680194524028,"Y",0.665363285524562,"Y",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.70792770863962,"Y",2.22044604925031e-16,"N",TRUE
10806,"N",0.0515915198119224,"N",0.048355023582499,"N",0.022,"N",0.002,"N",0.0328638497652582,"N",0.204873381578869,"N",0.0607997085943866,"N",0.0614645111521378,"N",0.167271407892252,"N",0.0802270133721017,"N",0.0475877614141508,"N",0.0449402933632886,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0411259788826508,"N",2.22044604925031e-16,"N",TRUE
11000,"N",0.120154101105695,"N",0.0889455410725645,"N",0.08,"N",0.128,"N",0.119047619047619,"N",0.0669471559288798,"N",0.0371418033334641,"N",0.0446439508966791,"N",0.210089911128451,"N",0.000223822729764958,"N",0.0394407226095789,"N",0.0300825993299583,"N",0.119047619047619,"N",0.119047619047619,"N",0.119047619047619,"N",0.0259327411949773,"N",2.22044604925031e-16,"N",TRUE
11204,"N",0.0251728036475608,"N",0.0398360011723571,"N",0,"N",0,"N",0.024,"N",0.437449416696109,"N",0.705590301666141,"Y",0.702668998138471,"Y",0.539163369852954,"N",0.450540523787931,"N",0.755350150574606,"Y",0.683730972565895,"Y",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.741466311050445,"Y",2.22044604925031e-16,"N",TRUE
11266,"N",0.0237759087026297,"N",0.039014969109288,"N",0.002,"N",0,"N",0.0328638497652582,"N",0.196386212830829,"N",0.0516700249909126,"N",0.05230109841827,"N",0.155727501703292,"N",0.0641116783158188,"N",0.0274908231862327,"N",0.0195394091561415,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0242681041672514,"N",2.22044604925031e-16,"N",TRUE
11307,"N",0.361832010606418,"Y",0.46906259260732,"Y",0.608,"Y",0.772,"Y",0.949852507374631,"Y",0.845464699409811,"Y",0.915762540981677,"Y",0.821608562681933,"Y",0.806704420144493,"Y",0.909305017092892,"Y",0.796504653239441,"Y",0.750020415571253,"Y",0.933526011560694,"Y",0.933526011560694,"Y",0.933526011560694,"Y",0.790659518365086,"Y",1,"Y",FALSE
11315,"N",0.0180937459590786,"N",0.026663064202192,"N",0,"N",0,"N",0.0328638497652582,"N",0.188565194352147,"N",0.0457277019674062,"N",0.0463299535804002,"N",0.147640660492113,"N",0.0502868994217731,"N",0.0119026822764077,"N",0.00982323147094732,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.00749628440623912,"N",2.22044604925031e-16,"N",TRUE
11393,"N",0.652750123071982,"Y",0.608816462781492,"Y",0.414,"N",0.472,"N",0.6875,"Y",0.294760003404131,"N",0.239525018770253,"N",0.239591612955446,"N",0.302766179243897,"N",0.336716318512168,"N",0.353892778274211,"N",0.210463301265448,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.34612924318115,"N",2.22044604925031e-16,"N",FALSE
11403,"N",0.0326434967029106,"N",0.0355543973475013,"N",0.168,"N",0.12,"N",0.0328638497652582,"N",0.0995146377990362,"N",0.00405424028687233,"N",0.00418217837522773,"N",0.0494032187193737,"N",0.0165102804646171,"N",0.00160320585783906,"N",0.00133450627575301,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.00108657894233163,"N",2.22044604925031e-16,"N",TRUE
11404,"N",0.0369645768546464,"N",0.0355543973475013,"N",0.186,"N",0.132,"N",0.0328638497652582,"N",0.0944917416358843,"N",0.00336343427214864,"N",0.00347424815302951,"N",0.0452776776644345,"N",0.0152045146471058,"N",0.00114991935969174,"N",0.000958160231844804,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.000753852758425958,"N",2.22044604925031e-16,"N",TRUE
11418,"N",0.0311256538215705,"N",0.0360264614729942,"N",0.082,"N",0.158,"N",0.0328638497652582,"N",0.147280476667358,"N",0.0172226475670375,"N",0.0175790897878219,"N",0.0958258050956856,"N",0.0256224723445577,"N",0.00490845770468193,"N",0.00389050047515468,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.00332279322739047,"N",2.22044604925031e-16,"N",TRUE
