"UniqueID","startprice","startprice.log","startprice.predict.All.X.no.rnorm.rf","startprice.predict.All.X.no.rnorm.rf.err","startprice.predict.All.X.no.rnorm.rf.accurate"
10001,159.99,5.07511131328062,154.611590666667,5.37840933333334,FALSE
10004,235,5.45958551414416,269.731452261905,34.7314522619047,FALSE
10005,199.99,5.298267365298,214.823362023088,14.8333620230883,FALSE
10008,329.99,5.79906235097108,317.343593284993,12.6464067150075,FALSE
10012,99.99,4.60507018098776,100.192765883117,0.202765883116811,FALSE
10016,344.95,5.84339947899212,403.680706446275,58.730706446275,FALSE
10018,209.98,5.34701228808679,240.364693698413,30.3846936984127,FALSE
10020,95,4.55387689160054,89.8922421926406,5.10775780735938,FALSE
10022,187.5,5.23377884541047,193.671438666667,6.17143866666663,FALSE
10023,129.99,4.86745752441993,157.919957666667,27.9299576666666,FALSE
10024,329.99,5.79906235097108,318.382238737374,11.6077612626263,FALSE
10025,149,5.00394630594546,452.871615731601,303.871615731601,FALSE
10026,238.8,5.47562638151845,249.228729333333,10.4287293333334,FALSE
10028,249.99,5.52142091706223,202.403322,47.5866779999997,FALSE
10029,309.99,5.73654003889437,254.430611380952,55.5593886190476,FALSE
10033,299.98,5.70371580576721,376.610924,76.6309239999995,FALSE
10035,444.99,6.09805181000363,360.943759185814,84.0462408141859,FALSE
10036,480,6.17378610390194,385.684022666667,94.3159773333334,FALSE
10038,79,4.36944785246702,89.9089021926406,10.9089021926406,FALSE
10039,189.85,5.24623428667781,178.502275142857,11.3477248571429,FALSE
10040,159.99,5.07511131328062,207.762965,47.7729649999998,FALSE
10042,115,4.74493212836325,94.171342025974,20.828657974026,FALSE
10043,289.95,5.66970849432245,287.32744847619,2.62255152380959,FALSE
10044,499.95,6.21450809342186,403.748316666666,96.2016833333339,FALSE
10046,550,6.30991827822652,492.015815388888,57.984184611112,FALSE
10047,209.99,5.34705991053603,216.363493,6.37349300000008,FALSE
10052,259,5.55682806169954,210.224789666666,48.7752103333335,FALSE
10053,240,5.48063892334199,202.211819,37.7881809999999,FALSE
10054,69.99,4.24835237470145,78.8651150021644,8.87511500216439,FALSE
10055,398.99,5.98893635391915,413.581975166666,14.591975166666,FALSE
10057,84.99,4.44253360251053,152.629636166667,67.6396361666666,FALSE
10058,269.99,5.59838492127545,209.215494142857,60.7745058571427,FALSE
10059,295,5.68697535633982,219.098921333333,75.9010786666666,FALSE
10060,210,5.34710753071747,190.857191,19.1428089999999,FALSE
10063,304.89,5.71995105581779,215.820431333333,89.0695686666665,FALSE
10065,195,5.27299955856375,164.254994380952,30.7450056190478,FALSE
10066,319,5.76519110278484,322.752146848485,3.75214684848481,FALSE
10067,389.99,5.96612109776931,435.249231636363,45.2592316363633,FALSE
10069,254.99,5.5412243287032,226.297105047619,28.692894952381,FALSE
10071,159.95,5.07486126639553,202.771171666667,42.8211716666665,FALSE
10072,279.99,5.63475388824576,349.12541,69.1354099999998,FALSE
10077,119.95,4.7870749892857,193.423552333333,73.4735523333332,FALSE
10079,269.94,5.59819971208114,219.379555047619,50.5604449523808,FALSE
10082,169.95,5.13550427614213,203.156946809524,33.2069468095239,FALSE
10083,319.85,5.76785213589615,411.78503130303,91.9350313030299,FALSE
10084,329.99,5.79906235097108,446.937713333332,116.947713333332,FALSE
10085,249.95,5.52126089785958,172.498592380952,77.4514076190478,FALSE
10087,550,6.30991827822652,484.618550555555,65.3814494444453,FALSE
10088,169.98,5.13568078307048,206.835125,36.855125,FALSE
10093,194.29,5.26935188825502,217.026618714286,22.7366187142858,FALSE
10094,193.15,5.26346708911229,207.980008023088,14.8300080230881,FALSE
10096,489.99,6.19438498273316,404.885906,85.1040940000004,FALSE
10100,199.99,5.298267365298,194.943435666667,5.04656433333324,FALSE
10102,349,5.85507192220243,417.602885636363,68.6028856363632,FALSE
10103,160,5.07517381523383,149.922873031746,10.0771269682539,FALSE
10104,295,5.68697535633982,245.732741047619,49.2672589523808,FALSE
10106,279.95,5.6346110157949,236.022540142857,43.9274598571428,FALSE
10107,149.95,5.01030190519502,108.644902835498,41.3050971645022,FALSE
10110,99,4.59511985013459,94.8849464545454,4.1150535454546,FALSE
