"UniqueID","sold.fctr","sold.fctr.predict.All.X.no.rnorm.rf.prob","sold.fctr.predict.All.X.no.rnorm.rf","sold.fctr.predict.All.Interact.X.no.rnorm.rf.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rf","sold.fctr.predict.Max.cor.Y.rpart.prob","sold.fctr.predict.Max.cor.Y.rpart","sold.fctr.predict.All.X.no.rnorm.rpart.prob","sold.fctr.predict.All.X.no.rnorm.rpart","sold.fctr.predict.All.Interact.X.no.rnorm.rpart.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rpart","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart.prob","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart","sold.fctr.predict.All.Interact.X.glmnet.prob","sold.fctr.predict.All.Interact.X.glmnet","sold.fctr.predict.Max.cor.Y.glm.prob","sold.fctr.predict.Max.cor.Y.glm","sold.fctr.predict.Interact.High.cor.Y.glm.prob","sold.fctr.predict.Interact.High.cor.Y.glm","sold.fctr.predict.All.Interact.X.bayesglm.prob","sold.fctr.predict.All.Interact.X.bayesglm","sold.fctr.predict.All.X.glmnet.prob","sold.fctr.predict.All.X.glmnet","sold.fctr.predict.All.X.glm.prob","sold.fctr.predict.All.X.glm","sold.fctr.predict.All.X.bayesglm.prob","sold.fctr.predict.All.X.bayesglm","sold.fctr.predict.Low.cor.X.glm.prob","sold.fctr.predict.Low.cor.X.glm","sold.fctr.predict.All.Interact.X.glm.prob","sold.fctr.predict.All.Interact.X.glm","sold.fctr.predict.Ensemble.glmnet.prob","sold.fctr.predict.Ensemble.glmnet","sold.fctr.predict.Ensemble.glmnet.accurate"
10094,"N",0.4,"N",0.338,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.277777777777778,"N",0.19638836882175,"N",0.246714860581386,"N",0.246635736612033,"N",0.188030200894937,"N",0.306422411962286,"N",0.136974654632851,"N",0.162057872820605,"N",0.148095576391176,"N",2.22044604925031e-16,"N",0.323262991559282,"N",TRUE
10260,"N",0.21,"N",0.188,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.277777777777778,"N",0.16288132932033,"N",0.248021950092682,"N",0.247922829318888,"N",0.158453273099389,"N",0.238330061486429,"N",0.127898919446482,"N",0.153979290179343,"N",0.145134563382039,"N",2.22044604925031e-16,"N",0.171562727161711,"N",TRUE
10390,"N",0.004,"N",0.002,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0256410256410256,"N",0.394531596332844,"N",0.548652909564876,"N",0.543651742397553,"N",0.40994497261422,"N",0.55387383903151,"Y",0.620371829734103,"Y",0.643962789571109,"Y",0.587880528154523,"Y",2.22044604925031e-16,"N",0.0730850462836269,"N",TRUE
10806,"N",0.268,"N",0.306,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0256410256410256,"N",0.207004821205252,"N",0.443216557737553,"N",0.439813546394304,"N",0.162775459971393,"N",0.307946660480381,"N",0.280387669045482,"N",0.290302100489574,"N",0.274246912696784,"N",2.22044604925031e-16,"N",0.235101612415114,"N",TRUE
11000,"N",0.05,"N",0.032,"N",0.123456790123457,"N",0.123456790123457,"N",0.123456790123457,"N",0.123456790123457,"N",0.000290715992543474,"N",0.0953716850577419,"N",0.116353291271474,"N",2.28366928735411e-05,"N",0.226083392431678,"N",0.0314699143631968,"N",0.047069846586508,"N",0.0363682025517126,"N",2.22044604925031e-16,"N",0.0840590193210273,"N",TRUE
11204,"N",0.032,"N",0.012,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0256410256410256,"N",0.392883480832214,"N",0.544367890824366,"N",0.539423801343591,"N",0.351689247151657,"N",0.504612622801626,"Y",0.602686151082173,"Y",0.62141060280277,"Y",0.557301405778495,"Y",1,"Y",0.079149627294377,"N",TRUE
11266,"N",0.01,"N",0.004,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0285714285714286,"N",0.114365162110212,"N",0.0371990730893377,"N",0.0383535786041048,"N",0.0436295894103995,"N",0.119894518334893,"N",0.0130092919914462,"N",0.0160114380756024,"N",0.0145628040801831,"N",2.22044604925031e-16,"N",0.0715392361516025,"N",TRUE
11307,"N",0.676,"Y",0.714,"Y",0.925501432664756,"Y",0.925501432664756,"Y",0.925501432664756,"Y",0.925501432664756,"Y",0.662178107290075,"Y",0.763544827978666,"Y",0.601410801683079,"N",0.503614503677547,"Y",0.607472379961216,"Y",0.514959471633294,"N",0.525778438530796,"Y",0.477706436128526,"N",2.22044604925031e-16,"N",0.728095032739372,"Y",FALSE
11315,"N",0.002,"N",0,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0285714285714286,"N",0.167379513522396,"N",0.0587750456941455,"N",0.0601470236747305,"N",0.0916368820767986,"N",0.159576381329624,"N",0.0183503021527853,"N",0.0253193490211871,"N",0.0217288537325511,"N",2.22044604925031e-16,"N",0.069977586537836,"N",TRUE
11393,"N",0.112,"N",0.1,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0256410256410256,"N",0.294157811879441,"N",0.516493308930791,"N",0.511939412849989,"N",0.279977598373448,"N",0.373006895256167,"N",0.375339587075603,"N",0.392848011928667,"N",0.332106335081054,"N",1,"Y",0.113915271706188,"N",TRUE
