"UniqueID","sold.fctr","sold.fctr.predict.Low.cor.X.glm.prob","sold.fctr.predict.Low.cor.X.glm","sold.fctr.predict.Low.cor.X.glm.accurate"
10020,"N",0.314754816495808,"N",TRUE
10038,"N",0.364506135396363,"N",TRUE
10042,"N",0.167771074249013,"N",TRUE
10043,"N",0.115171819586298,"N",TRUE
10082,"N",0.200784950828653,"N",TRUE
10106,"N",0.122392843788412,"N",TRUE
10107,"N",0.387874560777053,"N",TRUE
10110,"N",0.0530828881334418,"N",TRUE
10182,"N",0.707972098790163,"Y",FALSE
10217,"N",0.428773106287199,"N",TRUE
10382,"N",0.364361456050898,"N",TRUE
10466,"N",0.0321693726976469,"N",TRUE
10471,"N",0.00102448177674397,"N",TRUE
10512,"N",0.00234277550351448,"N",TRUE
10526,"N",0.531833853084859,"Y",FALSE
10568,"N",0.453245221541303,"N",TRUE
10586,"N",0.213913222889949,"N",TRUE
10645,"N",0.364722416525554,"N",TRUE
10772,"N",0.27282179392072,"N",TRUE
10801,"N",0.552662880747611,"Y",FALSE
10841,"N",0.816393498434451,"Y",FALSE
10842,"N",0.185424039019467,"N",TRUE
10941,"N",0.771776285650821,"Y",FALSE
10948,"N",0.00419610109004147,"N",TRUE
10960,"N",0.236846716779136,"N",TRUE
11007,"N",0.156445538855873,"N",TRUE
11008,"N",0.28314984832873,"N",TRUE
11038,"N",0.442268001725327,"N",TRUE
11050,"N",0.445494379079939,"N",TRUE
11082,"N",0.378020449201372,"N",TRUE
11109,"N",0.293410315210061,"N",TRUE
11111,"N",0.397214320648746,"N",TRUE
11116,"N",0.437330853860263,"N",TRUE
11202,"N",0.000931568711801285,"N",TRUE
11207,"N",0.0767545098122751,"N",TRUE
11240,"N",0.365182998494075,"N",TRUE
11280,"N",0.351205005958425,"N",TRUE
11316,"N",0.338756786279651,"N",TRUE
11401,"N",0.284638793550946,"N",TRUE
11439,"N",0.320029644159631,"N",TRUE
11527,"N",0.216020188124357,"N",TRUE
11542,"N",0.247420972756171,"N",TRUE
11545,"N",0.345335666973622,"N",TRUE
11560,"N",0.247547985950717,"N",TRUE
11575,"N",0.210734130438119,"N",TRUE
11579,"N",0.488411591666543,"N",TRUE
11622,"N",0.836879851493509,"Y",FALSE
11696,"N",0.420700107093619,"N",TRUE
11718,"N",0.144779237844661,"N",TRUE
11724,"N",0.133557165771782,"N",TRUE
11733,"N",0.107674647380541,"N",TRUE
11803,"N",0.246066606045013,"N",TRUE
11856,"N",0.231374096211137,"N",TRUE
10001,"N",0.0954217727504952,"N",TRUE
10077,"N",0.474846072978399,"N",TRUE
10085,"N",0.415539480751483,"N",TRUE
10132,"N",0.498876340817327,"N",TRUE
10149,"N",0.213894631789141,"N",TRUE
10158,"N",0.553087653393906,"Y",FALSE
10184,"N",0.914653234425596,"Y",FALSE
10191,"N",0.292908311420637,"N",TRUE
10216,"N",0.493559485670224,"N",TRUE
10235,"N",0.323978761860323,"N",TRUE
10252,"N",0.308412356935721,"N",TRUE
10274,"N",0.403226144250313,"N",TRUE
10351,"N",0.765668845790267,"Y",FALSE
10409,"N",0.29919035965612,"N",TRUE
10432,"N",2.48180913018196e-07,"N",TRUE
10440,"N",0.107483899967913,"N",TRUE
10500,"N",0.203622523767637,"N",TRUE
10503,"N",0.197431585043636,"N",TRUE
10504,"N",0.716281726916265,"Y",FALSE
10518,"N",0.380106731643173,"N",TRUE
10539,"N",0.517710691799703,"Y",FALSE
10560,"N",0.456633166226622,"N",TRUE
10567,"N",0.800957884694408,"Y",FALSE
10596,"N",0.191866670665332,"N",TRUE
10665,"N",0.00297645924125356,"N",TRUE
10673,"N",0.709935975422321,"Y",FALSE
10681,"N",0.450181432306739,"N",TRUE
10683,"N",0.838105786745183,"Y",FALSE
10709,"N",0.298128681050244,"N",TRUE
10739,"N",0.465691062670221,"N",TRUE
10751,"N",0.319414476030155,"N",TRUE
10785,"N",0.687502531585072,"Y",FALSE
10821,"N",0.012836715212208,"N",TRUE
10828,"N",0.448049001543012,"N",TRUE
10836,"N",0.784740938981059,"Y",FALSE
10888,"N",0.122399022728842,"N",TRUE
10904,"N",0.678997862077568,"Y",FALSE
10917,"N",0.750437227946479,"Y",FALSE
10928,"N",0.378938715282024,"N",TRUE
10964,"N",0.267060920197552,"N",TRUE
10992,"N",0.642073344115945,"Y",FALSE
10994,"N",0.412949158638878,"N",TRUE
11002,"N",0.339618497678409,"N",TRUE
11004,"N",0.89146891834057,"Y",FALSE
11032,"N",0.273325828502583,"N",TRUE
11044,"N",0.437609491391633,"N",TRUE
11048,"N",0.400011341841349,"N",TRUE
11051,"N",0.283158901302,"N",TRUE
11068,"N",0.191048786116505,"N",TRUE
11069,"N",0.267861621695655,"N",TRUE
11081,"N",0.445836490252136,"N",TRUE
11091,"N",0.256834727113489,"N",TRUE
11139,"N",0.826702176078798,"Y",FALSE
11198,"N",0.130379889855497,"N",TRUE
11228,"N",0.175542289096714,"N",TRUE
11242,"N",0.132967728415937,"N",TRUE
11257,"N",0.314984733412578,"N",TRUE
11261,"N",0.45375941659235,"N",TRUE
11275,"N",0.508772194517412,"Y",FALSE
11303,"N",0.00701196012865372,"N",TRUE
11320,"N",0.317900306892546,"N",TRUE
11322,"N",0.0186473392631751,"N",TRUE
11349,"N",0.673405565022228,"Y",FALSE
11352,"N",0.153000337737545,"N",TRUE
11365,"N",0.25179382506605,"N",TRUE
