"UniqueID","sold.fctr","sold.fctr.predict.All.X.gbm.prob","sold.fctr.predict.All.X.gbm","sold.fctr.predict.All.Interact.X.gbm.prob","sold.fctr.predict.All.Interact.X.gbm","sold.fctr.predict.All.X.no.rnorm.rf.prob","sold.fctr.predict.All.X.no.rnorm.rf","sold.fctr.predict.All.Interact.X.no.rnorm.rf.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rf","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart.prob","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart","sold.fctr.predict.Max.cor.Y.glm.prob","sold.fctr.predict.Max.cor.Y.glm","sold.fctr.predict.Interact.High.cor.Y.glm.prob","sold.fctr.predict.Interact.High.cor.Y.glm","sold.fctr.predict.All.X.glmnet.prob","sold.fctr.predict.All.X.glmnet","sold.fctr.predict.All.Interact.X.glmnet.prob","sold.fctr.predict.All.Interact.X.glmnet","sold.fctr.predict.All.Interact.X.bayesglm.prob","sold.fctr.predict.All.Interact.X.bayesglm","sold.fctr.predict.Max.cor.Y.rpart.prob","sold.fctr.predict.Max.cor.Y.rpart","sold.fctr.predict.All.X.no.rnorm.rpart.prob","sold.fctr.predict.All.X.no.rnorm.rpart","sold.fctr.predict.All.Interact.X.no.rnorm.rpart.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rpart","sold.fctr.predict.All.X.bayesglm.prob","sold.fctr.predict.All.X.bayesglm","sold.fctr.predict.Low.cor.X.glm.prob","sold.fctr.predict.Low.cor.X.glm","sold.fctr.predict.All.X.glm.prob","sold.fctr.predict.All.X.glm","sold.fctr.predict.All.Interact.X.glm.prob","sold.fctr.predict.All.Interact.X.glm","sold.fctr.predict.All.X.gbm.accurate"
10094,"N",0.521476840757291,"Y",0.765802867693229,"Y",0.558,"Y",0.574,"Y",0.583333333333333,"Y",0.198376760635528,"N",0.198248663117788,"N",0.281991333036844,"N",0.208918685576185,"N",0.162113285757797,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.158380784175776,"N",0.137455086225248,"N",0.128756678885428,"N",0.0965254213834317,"N",FALSE
10260,"N",0.0762968091799787,"N",0.0798714455036721,"N",0.122,"N",0.116,"N",0.0234741784037559,"N",0.0451998345683453,"N",0.0447738051798026,"N",0.138797423752278,"N",0.115046230147858,"N",0.093418392443274,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0370358478900538,"N",0.0330916042025677,"N",0.0282476140199369,"N",0.0600717810013169,"N",TRUE
10390,"N",0.0443375622281202,"N",0.0290568093831699,"N",0.006,"N",0.002,"N",0.0238095238095238,"N",0.938887277399701,"Y",0.940133833980451,"Y",0.703379593764109,"Y",0.536944190630472,"N",0.538732788869175,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.960470412991288,"Y",0.945689524853762,"Y",0.959430986783309,"Y",0.425843235710342,"N",TRUE
10806,"N",0.0514396304433853,"N",0.037000577822641,"N",0.188,"N",0.18,"N",0.0234741784037559,"N",0.0639473604129234,"N",0.0634763570162211,"N",0.159016472231726,"N",0.113902512017988,"N",0.0789833539719088,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0389164526054071,"N",0.0341256979419246,"N",0.0323824979149576,"N",0.065355259754897,"N",TRUE
11000,"N",0.100476887673147,"N",0.0883162633575315,"N",0.11,"N",0.068,"N",0.05,"N",0.334691169745661,"N",0.346803005552757,"N",0.479155786417643,"N",0.149058544215924,"N",0.0811215898681619,"N",0.05,"N",0.05,"N",0.05,"N",0.329228420911968,"N",0.26637092047543,"N",0.263867243828815,"N",0.0527610892706564,"N",TRUE
11204,"N",0.02835452923705,"N",0.0159548101658769,"N",0.01,"N",0.004,"N",0.0238095238095238,"N",0.945089811814359,"Y",0.946248936057235,"Y",0.713597681912728,"Y",0.539359110814094,"N",0.539989077061167,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.96169515559117,"Y",0.946419504180585,"Y",0.961837245268405,"Y",0.502443806991289,"Y",TRUE
11266,"N",0.0388960155380657,"N",0.0168178910733261,"N",0.006,"N",0.008,"N",0.0234741784037559,"N",0.0986024460292336,"N",0.0981321475440101,"N",0.215825644991023,"N",0.194217782544292,"N",0.13345427572751,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0702665268319114,"N",0.0579479637326265,"N",0.0622597945564318,"N",0.159407220598142,"N",TRUE
11307,"N",0.791851508393341,"Y",0.8179511467223,"Y",0.836,"Y",0.936,"Y",0.950437317784257,"Y",0.924595814372051,"Y",0.866315696097839,"Y",0.798872397211281,"Y",0.906251784562376,"Y",0.903742989410074,"Y",0.94,"Y",0.94,"Y",0.94,"Y",0.806867162109883,"Y",0.7574261866629,"Y",0.796118824947808,"Y",0.930130494790931,"Y",FALSE
11315,"N",0.0340551986714421,"N",0.0147790211936656,"N",0.006,"N",0,"N",0.0234741784037559,"N",0.104473896028543,"N",0.104011865861694,"N",0.20412954204705,"N",0.186146335726789,"N",0.167865251509431,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.050687564592318,"N",0.041101341474665,"N",0.0348099195139388,"N",0.19792566903789,"N",TRUE
11393,"N",0.519837843295566,"Y",0.674964533685852,"Y",0.46,"N",0.45,"N",0.25,"N",0.215667477415722,"N",0.215629373799447,"N",0.257484121015637,"N",0.201291650967641,"N",0.298512041898664,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.254323644695268,"N",0.142384065781806,"N",0.235033475339286,"N",0.386121232874623,"N",FALSE
