UniqueID,Probability1
11862,0.434
11863,0.632
11864,0.306
11865,0.798
11866,0.536
11867,0.478
11868,0.574
11869,0.518
11870,0.526
11871,0.9999
11872,0.318
11873,0.286
11874,0.498
11875,0.9999
11876,0.5
11877,0.638
11878,0.79
11879,0.306
11880,0.574
11881,0.69
11882,0.396
11883,0.428
11884,0.438
11885,0.116
11886,0.938
11887,0.254
11888,0.346
11889,0.174
11890,0.406
11891,0.624
11892,0.362
11893,0.766
11894,0.482
11895,0.496
11896,0.458
11897,0.228
11898,0.636
11899,0.172
11900,0.23
11901,0.376
11902,0.812
11903,0.212
11904,0.432
11905,0.266
11906,0.7
11907,0.13
11908,0.268
11909,0.364
11910,0.392
11911,0.306
11912,0.142
11913,0.9999
11914,0.434
11915,0.408
11916,0.386
11917,0.306
11918,0.808
11919,0.352
11920,0.398
11921,0.262
11922,0.864
11923,0.696
11924,0.326
11925,0.818
11926,0.318
11927,0.832
11928,0.766
11929,0.786
11930,0.696
11931,0.88
11932,0.23
11933,0.56
11934,0.538
11935,0.254
11936,0.776
11937,0.9999
11938,0.306
11939,0.404
11940,0.69
11941,0.284
11942,0.762
11943,0.022
11944,0.542
11945,0.786
11946,0.8
11947,0.816
11948,0.418
11949,0.718
11950,0.742
11951,0.5
11952,0.432
11953,0.768
11954,0.352
11955,0.802
11956,0.696
11957,0.696
11958,0.22
11959,0.838
11960,0.504
11961,0.794
11962,0.318
11963,0.128
11964,0.688
11965,0.5
11966,0.814
11967,0.9999
11968,0.746
11969,0.726
11970,0.892
11971,0.736
11972,0.654
11973,0.806
11974,0.73
11975,0.836
11976,0.49
11977,0.706
11978,0.57
11979,0.754
11980,0.792
11981,0.8
11982,0.766
11983,0.702
11984,0.756
11985,0.696
11986,0.482
11987,0.736
11988,0.348
11989,0.83
11990,0.9999
11991,0.728
11992,0.83
11993,0.608
11994,0.71
11995,0.626
11996,0.892
11997,0.404
11998,0.14
11999,0.8
12000,0.9999
12001,0.75
12002,0.91
12003,0.83
12004,0.836
12005,0.76
12006,0.768
12007,0.778
12008,0.178
12009,0.78
12010,0.78
12011,0.828
12012,0.464
12013,0.374
12014,0.756
12015,0.752
12016,0.676
12017,0.754
12018,0.754
12019,0.71
12020,0.746
12021,0.9999
12022,0.702
12023,0.736
12024,0.364
12025,0.862
12026,0.778
12027,0.744
12028,0.194
12029,0.836
12030,0.756
12031,0.81
12032,0.746
12033,0.718
12034,0.674
12035,0.262
12036,0.374
12037,0.388
12038,0.504
12039,0.798
12040,0.412
12041,0.754
12042,0.794
12043,0.36
12044,0.844
12045,0.738
12046,0.758
12047,0.436
12048,0.67
12049,0.716
12050,0.32
12051,0.452
12052,0.39
12053,0.702
12054,0.348
12055,0.73
12056,0.752
12057,0.312
12058,0.546
12059,0.544
12060,0.29
12061,0.652
12062,0.824
12063,0.784
12064,0.682
12065,0.9999
12066,0.712
12067,0.75
12068,0.344
12069,0.306
12070,0.332
12071,0.29
12072,0.9999
12073,0.406
12074,0.658
12075,0.618
12076,0.718
12077,0.356
12078,0.228
12079,0.686
12080,0.832
12081,0.748
12082,0.768
12083,0.744
12084,0.786
12085,0.174
12086,0.29
12087,0.814
12088,0.41
12089,0.784
12090,0.75
12091,0.742
12092,0.308
12093,0.356
12094,0.708
12095,0.42
12096,0.56
12097,0.798
12098,0.29
12099,0.366
12100,0.494
12101,0.228
12102,0.756
12103,0.4
12104,0.236
12105,0.392
12106,0.316
12107,0.758
12108,0.212
12109,0.574
12110,0.338
12111,0.9999
12112,0.328
12113,0.738
12114,0.9999
12115,0
12116,0.644
12117,0.198
12118,0.696
12119,0.24
12120,0.442
12121,0.774
12122,0.3
12123,0.822
12124,0.834
12125,0.786
12126,0.9999
12127,0.722
12128,0.354
12129,0.688
12130,0.802
12131,0.542
12132,0.834
12133,0.316
12134,0.834
12135,0.47
12136,0.842
12137,0.172
12138,0.746
12139,0.664
12140,0.762
12141,0.23
12142,0.192
12143,0.228
12144,0.32
12145,0.738
12146,0.828
12147,0.796
12148,0.444
12149,0.804
12150,0.368
12151,0.664
12152,0.9999
12153,0.304
12154,0.808
12155,0.396
12156,0.81
12157,0.84
12158,0.492
12159,0.398
12160,0.3
12161,0.636
12162,0.756
12163,0.882
12164,0.398
12165,0.324
12166,0.738
12167,0.736
12168,0.706
12169,0.894
12170,0.536
12171,0.392
12172,0.9999
12173,0.812
12174,0.476
12175,0.432
12176,0.442
12177,0.622
12178,0.406
12179,0.402
12180,0.696
12181,0.82
12182,0.746
12183,0.748
12184,0.398
12185,0.682
12186,0.826
12187,0.534
12188,0.708
12189,0.736
12190,0.824
12191,0.404
12192,0.236
12193,0.242
12194,0.342
12195,0.378
12196,0.718
12197,0.52
12198,0.424
12199,0.748
12200,0.52
12201,0.756
12202,0.288
12203,0.122
12204,0.09
12205,0.486
12206,0.704
12207,0.43
12208,0.764
12209,0.41
12210,0.194
12211,0.394
12212,0.512
12213,0.9999
12214,0.77
12215,0.808
12216,0.262
12217,0.472
12218,0.358
12219,0.346
12220,0.336
12221,0.874
12222,0.242
12223,0.498
12224,0.33
12225,0.458
12226,0.694
12227,0.726
12228,0.774
12229,0.69
12230,0.69
12231,0.828
12232,0.75
12233,0.846
12234,0.754
12235,0.428
12236,0.858
12237,0.798
12238,0.482
12239,0.822
12240,0.848
12241,0.352
12242,0.286
12243,0.336
12244,0.596
12245,0.826
