"UniqueID","sold.fctr","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart.prob","sold.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart","sold.fctr.predict.Max.cor.Y.rpart.prob","sold.fctr.predict.Max.cor.Y.rpart","sold.fctr.predict.All.X.no.rnorm.rpart.prob","sold.fctr.predict.All.X.no.rnorm.rpart","sold.fctr.predict.All.Interact.X.no.rnorm.rpart.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rpart","sold.fctr.predict.Max.cor.Y.glm.prob","sold.fctr.predict.Max.cor.Y.glm","sold.fctr.predict.All.Interact.X.glmnet.prob","sold.fctr.predict.All.Interact.X.glmnet","sold.fctr.predict.All.X.glmnet.prob","sold.fctr.predict.All.X.glmnet","sold.fctr.predict.All.X.no.rnorm.rf.prob","sold.fctr.predict.All.X.no.rnorm.rf","sold.fctr.predict.Interact.High.cor.Y.glm.prob","sold.fctr.predict.Interact.High.cor.Y.glm","sold.fctr.predict.All.Interact.X.bayesglm.prob","sold.fctr.predict.All.Interact.X.bayesglm","sold.fctr.predict.All.Interact.X.no.rnorm.rf.prob","sold.fctr.predict.All.Interact.X.no.rnorm.rf","sold.fctr.predict.Low.cor.X.glm.prob","sold.fctr.predict.Low.cor.X.glm","sold.fctr.predict.All.X.bayesglm.prob","sold.fctr.predict.All.X.bayesglm","sold.fctr.predict.All.X.glm.prob","sold.fctr.predict.All.X.glm","sold.fctr.predict.All.Interact.X.glm.prob","sold.fctr.predict.All.Interact.X.glm","sold.fctr.predict.Ensemble.glmnet.prob","sold.fctr.predict.Ensemble.glmnet","sold.fctr.predict.Ensemble.glmnet.accurate"
10094,"N",0.2,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.268753457871054,"N",0.31107843379999,"N",0.301501233474229,"N",0.23,"N",0.268511568707663,"N",0.148734492498228,"N",0.216,"N",0.161115473332151,"N",0.173708980467923,"N",0.147733466431833,"N",0.0781212089670339,"N",0.186344680048614,"N",TRUE
10260,"N",0.111538461538462,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.168157347834929,"N",0.251608882123263,"N",0.249246292306364,"N",0.1,"N",0.168705278137143,"N",0.11150319466501,"N",0.078,"N",0.108953379455285,"N",0.114707049294222,"N",0.0932199149603175,"N",0.0677961662217315,"N",0.102315990378039,"N",TRUE
10390,"N",0,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.585328878583328,"N",0.412233373980326,"N",0.437992695288747,"N",0.068,"N",0.582216574321074,"N",0.364546244341246,"N",0.02,"N",0.491560747644787,"N",0.566442044357456,"Y",0.528532143957414,"Y",0.288203243707693,"N",0.0834369390515093,"N",TRUE
10806,"N",0.714285714285714,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.335600396664567,"N",0.307483834855047,"N",0.331693754783539,"N",0.318,"N",0.33471641181004,"N",0.127283338286848,"N",0.332,"N",0.144870992285169,"N",0.150964898630447,"N",0.135619807377432,"N",0.0934149111906575,"N",0.280254687888307,"N",TRUE
11000,"N",0,"N",0.296703296703297,"N",0.296703296703297,"N",0.296703296703297,"N",0.19792526455825,"N",0.214917398401455,"N",0.426609053414869,"N",0.16,"N",0.216902781091685,"N",0.0177477910560973,"N",0.176,"N",0.120021905090178,"N",0.145474985157928,"N",0.108000561529734,"N",0.0134793003993805,"N",0.146312208014115,"N",TRUE
11204,"N",0,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.568251541821124,"N",0.394252271519091,"N",0.430445480520001,"N",0.168,"N",0.565254233843225,"N",0.320844034535874,"N",0.106,"N",0.400243938068717,"N",0.487485956517256,"N",0.45165008765002,"N",0.319961966300297,"N",0.128910494111852,"N",TRUE
11266,"N",0.111538461538462,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0840014118035506,"N",0.207231776067839,"N",0.190047381533584,"N",0.052,"N",0.0848293933692106,"N",0.0858873692700221,"N",0.012,"N",0.0363139356258956,"N",0.050075256849759,"N",0.0445204365495061,"N",0.0756597964612079,"N",0.078159488946634,"N",TRUE
11307,"N",0.125,"N",0.296703296703297,"N",0.296703296703297,"N",0.296703296703297,"N",0.693272175325669,"N",0.61687170747454,"Y",0.663016344551168,"Y",0.256,"N",0.487060085476036,"N",0.413748391858219,"N",0.228,"N",0.401185693918551,"N",0.464385370575133,"N",0.448786677508972,"N",0.454316015764809,"Y",0.204273865024474,"N",TRUE
11315,"N",0.111538461538462,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.0655450461767004,"N",0.19214160356832,"N",0.17258799029457,"N",0.058,"N",0.0663469710356101,"N",0.0674729008453474,"N",0.016,"N",0.029214067562779,"N",0.03266548532114,"N",0.0241836836195953,"N",0.066316613044003,"N",0.0800337332465247,"N",TRUE
11393,"N",0.111538461538462,"N",0.211502782931354,"N",0.211502782931354,"N",0.211502782931354,"N",0.124962405559042,"N",0.217659659127836,"N",0.221797593089898,"N",0.088,"N",0.125719068722393,"N",0.0833207127170879,"N",0.108,"N",0.0402451316865219,"N",0.0670461918756306,"N",0.0566449512080697,"N",0.095752275566163,"N",0.10667319837318,"N",TRUE
